ID,Sura_No,Verse_No,Column5,Word_No,Word,Without_Diacritics,Segmented_Word,Morph_tag,Morph_type,Punctuation_Mark,Invariable_Declinable,Syntactic_Role,Possessive_Construct,Case_Mood,Case_Mood_Marker,Phrase,Phrasal_Function,Notes
1,1,1,1,1,بِسْمِ,بسم,ب,PREP,Prefix,,مبني,حرف جر,غير مضاف,مبني,الكسرة,شبه جملة,خبر,
1,1,1,1,2,بِسْمِ,بسم,اسم,NOUN_ABSTRACT,Stem,,معرب,اسم مجرور,مضاف,مجرور,الكسرة,,,
2,1,1,2,1,اللَّهِ,الله,ال,DET,Prefix,,None,,,,,,,
2,1,1,2,2,اللَّهِ,الله,له,NOUN_PROP,Stem,,معرب,مضاف إليه,غير مضاف,مجرور,الكسرة,,,
3,1,1,3,1,الرَّحْمَنِ,الرحمن,ال,DET,Prefix,,ال التعريف,,,,,,,
3,1,1,3,2,الرَّحْمَنِ,الرحمن,رحمن,NOUN_PROP,Stem,,معرب,نعت,غير مضاف,مجرور,الكسرة,,,
4,1,1,4,1,الرَّحِيمِ,الرحيم,ال,DET,Prefix,,ال التعريف,,,,,,,
4,1,1,4,2,الرَّحِيمِ,الرحيم,رحيم,NOUN_PROP,Stem,.,معرب,نعت,غير مضاف,مجرور,الكسرة,,,
5,1,2,1,1,الْحَمْدُ,الحمد,ال,DET,Prefix,,ال التعريف,,,,,,,
5,1,2,1,2,الْحَمْدُ,الحمد,حمد,GERUND,Stem,,معرب,مبتدأ,غير مضاف,مرفوع,الضمة,,,
6,1,2,2,1,لِلَّهِ,لله,ل,PREP,Prefix,,مبني,حرف جر,غير مضاف,مبني,الكسرة,شبه جملة,خبر,
6,1,2,2,2,لِلَّهِ,لله,له,NOUN_PROP,Stem,,معرب,اسم مجرور,غير مضاف,مجرور,الكسرة,,,
7,1,2,3,1,رَبِّ,رب,رب,NOUN_CONCRETE,Stem,,معرب,نعت,مضاف,مجرور,الكسرة,,,
8,1,2,4,1,الْعَالَمِينَ,العالمين,ال,DET,Prefix,,ال التعريف,,,,,,,
8,1,2,4,2,الْعَالَمِينَ,العالمين,عالم,NOUN_ABSTRACT,Stem,,معرب,مضاف إليه,غير مضاف,مجرور,الياء,,,
8,1,2,4,3,الْعَالَمِينَ,العالمين,ين,NSUFF_MASC_PL_GEN,Suffix,,None,,,,,,,
9,1,3,1,1,الرَّحْمَنِ,الرحمن,ال,DET,Prefix,,ال التعريف,,,,,,,
9,1,3,1,2,الرَّحْمَنِ,الرحمن,رحمن,NOUN_PROP,Stem,,معرب,نعت,غير مضاف,مجرور,الكسرة,,,
